conc,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
9,0.0973054,0.0900993,0.0885927,0.0878233,0.0880222,0.100718,0.165542,0.379528,0.487341,0.665218,0.671529,0.708564
9,0.0970826,0.0893267,0.0879496,0.0878957,0.0879217,0.101086,0.173813,0.350045,0.606167,0.659656,0.645274,0.649877
9,0.0971277,0.0899553,0.088315,0.0879052,0.0884153,0.0997239,0.162287,0.343605,0.492906,0.565784,0.598331,0.633534
9,0.0980537,0.0908455,0.0894363,0.0894828,0.0896798,0.106347,0.20921,0.489195,0.724805,0.840698,0.906252,0.962137
9,0.097531,0.0896874,0.0880355,0.0873175,0.0882486,0.0994683,0.156748,0.309473,0.438783,0.508596,0.604529,0.666263
9,0.0986749,0.0899357,0.0879746,0.0875133,0.0882926,0.100635,0.167214,0.394354,0.576592,0.627235,0.614879,0.650482
10,0.0983229,0.0906699,0.0888326,0.0880713,0.0890928,0.102388,0.166056,0.37579,0.47525,0.630078,0.638817,0.662069
10,0.0981482,0.0895204,0.0880113,0.0873267,0.0879223,0.0981024,0.155802,0.298863,0.391384,0.469762,0.57398,0.624362
10,0.0970632,0.0891743,0.087452,0.0870758,0.0872823,0.0996211,0.175628,0.368479,0.526005,0.629619,0.663259,0.677622
10,0.0984205,0.0907518,0.0890807,0.088663,0.0895861,0.0991061,0.166614,0.346677,0.497589,0.62529,0.612884,0.688202
10,0.0993682,0.0910972,0.0895588,0.0891321,0.0902119,0.108554,0.182683,0.328603,0.58808,0.66943,0.667283,0.70188
10,0.101698,0.0925978,0.0911956,0.0908155,0.0917382,0.10581,0.172803,0.36755,0.552875,0.642621,0.693674,0.722975
11,0.0997146,0.0927832,0.0910649,0.090121,0.0910854,0.105528,0.168575,0.307635,0.472149,0.618545,0.649938,0.681874
11,0.0983292,0.0899266,0.0881803,0.0876886,0.08874,0.100485,0.157444,0.351907,0.503323,0.644952,0.651761,0.677959
11,0.0982383,0.0912507,0.0897616,0.0892355,0.0908567,0.103448,0.162321,0.390121,0.576515,0.661509,0.646367,0.66931
11,0.0980774,0.089481,0.0876235,0.0873015,0.0882249,0.101038,0.161664,0.310455,0.431621,0.604043,0.642349,0.684219
11,0.0993695,0.0922747,0.0904554,0.0898528,0.0906807,0.0992775,0.150093,0.316772,0.416206,0.579277,0.620427,0.671689
11,0.0989567,0.0895694,0.0884248,0.0879839,0.0885778,0.0979785,0.155755,0.307242,0.422469,0.530014,0.631739,0.691439
12,0.0988563,0.0914934,0.0896671,0.0890354,0.089615,0.100829,0.157741,0.353921,0.523913,0.625717,0.6881,0.740926
12,0.0990506,0.0912515,0.0892655,0.0886807,0.0893665,0.0980655,0.163701,0.36221,0.539174,0.645721,0.658363,0.69416
12,0.0988541,0.092153,0.0903875,0.0902337,0.0904109,0.100522,0.170284,0.393475,0.706694,0.807689,0.899298,0.931589
12,0.0994375,0.0916387,0.0899628,0.0898549,0.090897,0.107194,0.195206,0.436726,0.551005,0.658206,0.665675,0.691769
12,0.0993343,0.0919639,0.0906943,0.089905,0.0909046,0.104355,0.164569,0.317796,0.418934,0.526382,0.612611,0.656015
12,0.0997839,0.0913566,0.0900145,0.0890268,0.0898691,0.102956,0.168983,0.376862,0.542813,0.636203,0.658421,0.711766
13,0.103682,0.0964327,0.0951045,0.0943858,0.0950301,0.10643,0.173813,0.386925,0.538231,0.717131,0.753852,0.811314
13,0.102476,0.0941008,0.0925969,0.0919361,0.0931968,0.109788,0.21594,0.505154,0.650789,0.726337,0.744524,0.805135
13,0.103837,0.0966444,0.0951522,0.0946138,0.0954515,0.108393,0.21798,0.464565,0.640498,0.704361,0.758543,0.792411
13,0.102509,0.0950879,0.0935164,0.0929176,0.0939047,0.106124,0.179083,0.375652,0.591036,0.752956,0.73345,0.824277
13,0.101988,0.0954135,0.0939438,0.0934598,0.0947174,0.109503,0.188675,0.399864,0.591332,0.743979,0.742872,0.791314
13,0.104393,0.0965498,0.0946734,0.0944229,0.0954243,0.111029,0.194436,0.393059,0.584254,0.73486,0.75875,0.793962
14,0.0998378,0.0929645,0.0914102,0.0909662,0.0916812,0.102776,0.172835,0.428602,0.590114,0.655562,0.65053,0.688047
14,0.0996201,0.0920603,0.0901907,0.0895257,0.0902686,0.103227,0.164961,0.350771,0.448277,0.543709,0.644513,0.701676
14,0.100716,0.0930355,0.0914864,0.090781,0.091787,0.105944,0.172193,0.338899,0.533549,0.687237,0.674667,0.682763
14,0.0995128,0.0911186,0.0893099,0.0886668,0.0911214,0.110208,0.199342,0.402521,0.6004,0.652707,0.642358,0.700202
14,0.0970235,0.0892972,0.0875436,0.0871868,0.0871865,0.0932662,0.127634,0.239442,0.313362,0.395561,0.4342,0.479852
14,0.101318,0.0923747,0.0906231,0.0900166,0.0917676,0.113077,0.249443,0.464062,0.556638,0.639883,0.664163,0.750659
0,0.100984,0.100509,0.096468,0.0954398,0.094948,0.118018,0.204652,0.359985,0.611275,0.725769,0.740567,0.783858
0,0.0977354,0.0941667,0.092424,0.0910624,0.0905278,0.104873,0.177054,0.368634,0.510056,0.630342,0.655315,0.727047
0,0.100138,0.0993076,0.0963369,0.0955081,0.0934527,0.106391,0.167978,0.364657,0.528022,0.658404,0.698866,0.736269
0,0.0985109,0.0940882,0.090901,0.0903582,0.0906871,0.103714,0.170796,0.385602,0.611209,0.675825,0.691739,0.72204
0,0.100238,0.100848,0.0977609,0.0979121,0.09664,0.107985,0.209434,0.409528,0.590813,0.668791,0.687875,0.721525
0,0.101873,0.094764,0.0932594,0.0916806,0.0918664,0.106191,0.178404,0.335035,0.505713,0.655597,0.674403,0.724929
16,0.0995163,0.106387,0.103097,0.10222,0.100558,0.100388,0.100501,0.0998991,0.10021,0.0995687,0.0984097,0.0989215
16,0.102827,0.110076,0.106924,0.106126,0.104908,0.104482,0.104163,0.103221,0.104155,0.103552,0.10245,0.102221
16,0.102717,0.110431,0.108097,0.106809,0.104506,0.104279,0.10398,0.104177,0.103712,0.103546,0.102012,0.10184
16,0.099647,0.1022,0.0999487,0.0996147,0.0984947,0.0982499,0.0979551,0.096973,0.098119,0.0979112,0.0966899,0.0963293
16,0.103239,0.112293,0.110274,0.107448,0.106768,0.10744,0.105243,0.105519,0.10609,0.106098,0.104621,0.10344
16,0.100006,0.104454,0.102264,0.100637,0.0994396,0.0991946,0.0989408,0.0990462,0.0993642,0.0988223,0.0980487,0.0968552
