Rep,Well Position,Sample Name,quantity_d016S,quantity_d016S_2,quantity_d0intI1,quantity_d7_16s,quantity_d716S_2,quantity_d7_intI1,quantity_d0sul1,quantity_d7sul1,quantity_d0cintI1,quantity_d7cintI1
3,F8,0.026,227.49,776.869751,6.2,3.80E+13,129220344,1.20E+12,8.24,46508852,46.57,72550400
4,F9,0.026,281.02,1056.52002,10.08,2.00E+13,74000784,4.55E+11,14.91,12687922,52.34,23488810
4,F10,0.026,263.11,1025.313477,4.5,1.95E+13,76388112,4.29E+11,34.58,12750497,80.12,21537796
5,F11,0.026,175.19,724.3360596,1.92,5.23E+13,161587264,10711948288,20.09,707642.5,32.39,555989.81
5,F12,0.026,204.8,609.9050293,3.94,4.99E+13,166846432,10893759488,16.95,727581.19,55.21,535465.38
1,G1,0.0088,38.55,173.4065399,1.22,5.58E+13,163766656,1.11E+12,0.08,34626460,10.1,101611376
1,G2,0.0088,21.07,138.7588043,0.59,5.43E+13,164610528,9.46E+11,0.01,37032356,29.85,91814576
2,G3,0.0088,242.96,792.3492432,4.78,5.05E+13,163238512,9.45E+11,19.67,28991122,15.1,67625256
2,G4,0.0088,235.91,778.6658325,5.76,6.02E+13,160894432,1.07E+12,11.65,32248644,21,64193752
3,G5,0.0088,408.19,1205.384277,7.54,2.51E+13,110734368,1.03E+12,22.63,12778762,72.32,69246936
3,G6,0.0088,405.48,1299.325806,11.46,2.66E+13,86415096,1.00E+12,37.94,11757973,53.95,70609896
4,G7,0.0088,257.85,412.179718,4.11,3.68E+13,99435632,3.11E+11,14.91,10774964,25.13,20651530
4,G8,0.0088,249.69,398.4852295,3.08,3.50E+13,130163784,3.40E+11,6.28,10766453,31.46,21099300
5,G9,0.0088,181.56,839.0981445,5.45,4.60E+13,130523656,2.67E+11,17.59,4860184.5,137.2,9427042
5,G10,0.0088,148.04,666.5490723,6.29,4.44E+13,145427456,2.41E+11,29.31,5499474,97.78,10551833
1,G11,0,64.33,221.4112701,0.93,5.13E+13,160666272,1.52E+12,8.23,49617096,21.56,125051712
1,G12,0,70.71,167.7703094,0.39,5.10E+13,154435280,1.64E+12,0.22,62617304,45.87,128703872
2,H1,0,73.4,187.4781342,1.8,4.83E+13,154172224,3.05E+11,0.07,9460108,25.63,20144300
2,H2,0,73.11,214.9609528,2.51,4.58E+13,115904440,2.41E+11,5.77,8543707,26.52,26.47
3,H3,0,151.59,474.7052612,5.03,3.48E+13,126806600,26813386752,13.41,524694.13,28.57,1463278.5
3,H4,0,145.08,503.1179199,3.04,3.64E+13,116643240,27859515392,0.14,574602.31,51.1,12880671
4,H5,0,98.58,381.4776306,1.5,4.49E+13,,2.82E+11,18.94,3402248.75,34.63,9751409
4,H6,0,101.33,395.7722778,2.2,4.57E+13,132847096,2.92E+11,4.57,3769362.75,34.16,9680694
5,H7,0,63.51,159.4558411,1.78,6.76E+13,163726816,1.72E+11,7.7,3838939.5,31.04,9849067
5,H8,0,58.27,115.3644104,0.26,7.02E+13,158217728,1.82E+11,3.14,3741058.25,7.22,9800834
