Gene
arsA
arsA
arsA
arsB
arsB
arsB
arsB
arsB
arsB
arsC
arsC
arsC
arsC
arsC
arsC
arsD
arsD
arsH
arsR
arsR
arsR
arsR
arsR
cadA/yvgW
cadC
cadD
cadR
cadX
ceuE
chrA
chrA1
chrB1
chrC
chrE
chrF
chrI
cnrA
cnrB
cnrC
cnrH
cnrR/cnrX
cnrT
cnrY
copA
copB
copC
copD
copJ
copK
copR
copS
cusA/ybdE
cusB
cusC/ylcB
cusF/cusX
cusR/ylcA
czcA
czcB
czcC
czcD
czcE
czcP
czcR
czcS
dmeF
hmrR
hoxN
hupE
hupE2
klaB/telA/kilB
klaC/telB
merA
merA
merA
merA
merB
merB
merB
merB
merC
merD
merD
merD
merD
merD
merD
merE
merE
merE
merE
merF
merG
merH
merP
merP
merP
merP
merR
merR
merR
merR
merR1
merR2
merR2
merT
merT
merT
merT
merT
merT
mrdH
nccA
nccB
nccC
nccH
nccN
nccX
nccY
ncrA
ncrA
ncrB
ncrB
ncrC
ncrC
ncrY
ncrY
nia
nixA
nreB
oqxA
oqxB
pbrA
pbrB/pbrC
pbrD
pbrR
pbrT
pcoA
pcoB
pcoC
pcoD
pcoE
pcoR
pcoS
qacA
qacB
qacC/qacD/smr
qacE
qacEdelta1
qacF
qacG
qacH/qacI
qacJ
qacR
qacZ
silA
silB
silC
silE
silF
silP
silR
silS
sitA
sitB
sitC
sitD
srpC
sugE
tcrB
terA
terB
terC
terD
terE
terW
terZ
tP
triA
triB
triC
ttgG
ttgH
ttgI
ttgV
ttgW
ygiW
ymgB/ariR
zneB/hmxB
