Gene
abeM
adeG
amvA
arsA
bepC
bepD
bepE
bepF
bepG
blt
bmr
cepA
cpxA
cpxR
ebrA
ebrB
emeA
emmdR
emrAsm
emrBsm
emrCsm
emrK
farA
farB
gadX
gesA
gesB
gesC
hmrM
lde
mdfA/cmr
mepB
mepC
mexA
mexB
mexC
mexD
mexI
mmR
mntP/yebN
mtrC
mtrD
mtrE
mtrF
norA
norB
norM/pmpM
oprJ
oprM/oprK
pmpM
pmrA
qacB
sdeX
sdeY
sepA
smdA
smdB
smeD
smfY
smrA
smvA/emrB
srpA
srpB
srpC
srpR
srpS
ssmE
sugE
tbtB
tbtR
tolC
triA
triB
triC
ttgA
ttgD
ttgE
ttgF
ttgG
ttgH
ttgI
ttgR
ttgT
vceC
vceR
vcmA
vcrM
vexA
vexB
vexC
vexD
vexE
vexF
vexH
vmrA
yddg/emrE
ykkC
ykkD
