conc,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
9,0.091202,0.0832348,0.0820482,0.0811437,0.082509,0.0968875,0.174818,0.420631,0.606979,0.699809,0.716394,0.771629
8,0.119107,0.129977,0.129911,0.130012,0.131636,0.146365,0.235066,0.493782,0.646002,0.784139,0.816747,0.823703
8,0.0985857,0.124438,0.123762,0.122581,0.119398,0.133948,0.206049,0.432466,0.711386,0.728812,0.750491,0.774812
8,0.0957802,0.123349,0.119789,0.119348,0.120274,0.131587,0.20072,0.391697,0.555612,0.719785,0.740838,0.782296
8,0.0961846,0.0948225,0.0905566,0.085844,0.0869508,0.0983808,0.163798,0.336797,0.554528,0.658565,0.679162,0.70761
8,0.0941379,0.096691,0.0971986,0.0974046,0.0971466,0.116076,0.209665,0.494618,0.658386,0.720946,0.728693,0.774382
8,0.0922807,0.0848893,0.0835921,0.0828345,0.0841264,0.101372,0.201986,0.428561,0.676855,0.71031,0.706614,0.716447
7,0.135558,0.121827,0.112538,0.108764,0.108845,0.121022,0.210258,0.46538,0.657221,0.70391,0.72253,0.740517
7,0.129858,0.114008,0.106528,0.103959,0.104719,0.130633,0.252232,0.507597,0.700835,0.766197,0.788444,0.839325
7,0.0940245,0.1285,0.124873,0.123692,0.125637,0.145861,0.252432,0.500985,0.790217,0.778126,0.772278,0.789517
7,0.0918817,0.125648,0.121579,0.120422,0.12131,0.137254,0.218181,0.492609,0.716317,0.736888,0.757681,0.776766
7,0.0929463,0.107775,0.103694,0.102209,0.103466,0.121017,0.195348,0.41313,0.633248,0.69481,0.733789,0.775173
7,0.0922992,0.0959249,0.0933519,0.0924827,0.0938375,0.110599,0.196663,0.419066,0.59723,0.686492,0.694065,0.726789
6,0.0905314,0.0829114,0.0818765,0.0812803,0.0830186,0.0975675,0.163157,0.323626,0.496266,0.640245,0.608905,0.648183
6,0.0898076,0.0811388,0.0802591,0.0797337,0.0808386,0.093394,0.162809,0.305248,0.473748,0.554622,0.560231,0.582394
6,0.0906358,0.0830044,0.0820449,0.0812774,0.0822846,0.097106,0.172834,0.407206,0.583507,0.666241,0.659489,0.69787
6,0.09127,0.0845345,0.0825318,0.081972,0.0821873,0.0924988,0.151661,0.347574,0.557477,0.667822,0.680653,0.703701
6,0.0905508,0.0838511,0.0828109,0.0821132,0.0824311,0.093344,0.176745,0.40821,0.581753,0.642221,0.627046,0.6914
6,0.091383,0.082995,0.081544,0.0809033,0.0816861,0.0919028,0.15786,0.311123,0.441366,0.636161,0.658845,0.671914
5,0.0920551,0.0850543,0.0836419,0.0828104,0.0836827,0.0930479,0.168225,0.458744,0.631288,0.684536,0.672126,0.695095
5,0.0911232,0.0841141,0.0831424,0.0817773,0.0829848,0.0957496,0.163988,0.364391,0.591285,0.678548,0.710443,0.713541
5,0.0917021,0.0843559,0.0831157,0.0826242,0.0845508,0.105433,0.208703,0.47644,0.676951,0.717136,0.767658,0.782699
5,0.0909493,0.0844639,0.0830464,0.0823075,0.0835999,0.0978285,0.17776,0.399304,0.656873,0.66259,0.68802,0.709962
5,0.0910965,0.0839758,0.082127,0.0814037,0.0828988,0.0948009,0.17716,0.402632,0.544917,0.681717,0.689908,0.712125
5,0.0914146,0.0844758,0.0833002,0.0826463,0.0837705,0.098263,0.175312,0.352957,0.509053,0.630756,0.64619,0.672208
4,0.0969738,0.0874482,0.0854523,0.0847774,0.0857747,0.0982508,0.171509,0.334413,0.505846,0.682514,0.729548,0.777647
4,0.0919634,0.0838512,0.0823357,0.0818368,0.0833488,0.0931197,0.156203,0.348131,0.528462,0.623522,0.641763,0.657655
4,0.0912257,0.084498,0.0831017,0.0822905,0.0833363,0.0970845,0.159594,0.337982,0.636002,0.68775,0.702066,0.713801
4,0.0912148,0.0839372,0.0829417,0.0823347,0.0837472,0.0944567,0.152642,0.310909,0.557413,0.667768,0.679634,0.721479
4,0.0913394,0.0839543,0.0824222,0.0823361,0.0834766,0.0971849,0.171755,0.397135,0.619234,0.704272,0.689359,0.722455
4,0.0926799,0.0851625,0.083724,0.0827855,0.0848496,0.101296,0.187627,0.454346,0.646862,0.678327,0.716816,0.764849
3,0.120928,0.105223,0.0987361,0.0917919,0.0901827,0.100292,0.168619,0.376086,0.600482,0.684592,0.694954,0.714711
3,0.09149,0.0837055,0.0822826,0.0818167,0.0833925,0.0981121,0.175646,0.336938,0.463463,0.619509,0.65419,0.690311
