Sample,Rep,d0_intI1quantity,d0_16Squantity,d7_intI1quantity,d7_16Squantity,d0_sul1quantity,d7_sul1quantity,d0_cintI1quantity,d7_cintI1quantity
2,5,95.56,6013.37,17111406,196526512,2.955,6908172.5,30.902,19738588
2,5,74.34,5903.92,16356508,200243488,0.722,6685887,19.985,19681016
0,1,151.79,3410.73,1488262.5,99195800,24.185,2007883.25,106.99,5375911
0,1,134.53,5382.53,3162539,114918816,21.338,2225341.5,112.397,5461901
0,2,65.02,6200.07,2592952.25,96786512,14.907,3862631.5,86.226,7207930.5
0,2,98.41,4917.45,2139264.25,79156352,22.765,3909208.75,75.247,7875719
0,3,19.39,5134.34,4167935,83675816,5.301,1785489.25,131.833,12348144
0,3,33.35,3351.5,5583554.5,50874740,10.169,1781634.5,59.203,11478817
0,4,28.7,3584.93,2090466.88,84956968,4.643,2939547.75,45.186,7074112
0,4,22.64,4650.76,2228339.25,76697008,12.458,2563211.25,66.462,8047557.5
0,5,29.21,5367.12,684382.44,105358992,6.16,997222.625,26.406,2375079.5
0,5,42.13,6012.1,718039.63,46406748,1.776,1032113.688,61.217,2591781.5
